,1,2
0,3742.5333333333333,3667.7666666666664
1,2137.5333333333333,2078.266666666667
2,2382.7999999999997,2285.433333333333
3,2544.2666666666664,2464.8666666666663
4,2236.5666666666666,2141.9
5,2128.3666666666663,2045.7333333333336
6,2118.766666666667,2046.9333333333334
7,2159.2666666666664,2050.366666666667
8,2152.2666666666664,2111.6666666666665
9,2122.066666666666,2078.3333333333335
10,2098.566666666666,2032.6000000000001
11,2140.733333333333,2083.9666666666667
12,2118.1666666666665,2069.3333333333335
13,2122.366666666667,2074.0333333333333
14,2103.9,2011.3333333333333
15,2137.9333333333334,2082.566666666667
16,2166.7333333333336,2062.8666666666663
17,2071.8333333333335,2006.7666666666664
18,2192.233333333333,2118.733333333333
19,2256.6,2178.7000000000003
20,2099.1,2063.8
21,2062.333333333333,2022.1000000000001
22,2072.5,2069.0333333333338
23,2086.7999999999997,2016.7333333333333
24,2085.4,2071.6333333333337
25,2176.533333333333,2123.1333333333337
26,2084.366666666667,2057.9666666666667
27,2205.5000000000005,2153.4
28,2103.4,2055.1
29,2681.566666666666,2657.5666666666666
30,2070.4,2024.2333333333333
31,2127.2000000000003,2065.566666666666
32,2039.7333333333333,1993.6000000000001
33,2022.8,1980.3333333333333
34,2111.7666666666664,2061.833333333333
35,2200.733333333333,2147.433333333334
36,2094.0333333333333,2035.6999999999998
37,2081.366666666667,2033.2666666666667
38,2072.5333333333333,1982.0333333333335
39,2055.0333333333333,1995.8999999999999
40,2089.9333333333334,2006.3333333333333
41,2132.1666666666665,2095.4
42,2082.833333333333,2006.7666666666667
43,2103.8,2003.9333333333334
44,2100.4333333333334,2035.6666666666667
45,2071.1666666666665,1997.6333333333334
46,2053.0,1974.3999999999999
47,2056.766666666667,1967.1000000000001
48,2145.9666666666667,2110.0
49,2083.2999999999997,2035.2
50,2089.066666666667,1994.5
51,2142.8333333333335,2049.8333333333335
52,2129.7000000000003,2087.2333333333336
53,2130.0,2034.1000000000001
54,2093.6,2006.3666666666668
55,2145.633333333333,2087.6
56,2057.133333333333,1993.9666666666665
57,2128.1,2054.1
58,2140.433333333333,2062.2000000000003
59,2059.933333333333,1962.8000000000002
